,Existence of national screening program for cervical cancer,Most widely used screening method in national cervical cancer screening program,Type of national cervical cancer screening program,Coverage of national cervical cancer screening program (%),Existence of national HPV vaccination programme,Current health expenditure (CHE) as percentage of gross domestic product (GDP) (%),Current health expenditure (CHE) per capita in PPP int$,Current health expenditure (CHE) per capita in US$,Out-of-pocket expenditure (OOP) per capita in PPP int$,Out-of-pocket expenditure (OOP) per capita in US$,continent,Breast cancer deaths per 100000 women,Breast cancer new cases per 100000 women,Gdp pc usd inflation adjusted,Gni pc constant 2010 u,Prostate cancer deaths per 100000 men,Prostate cancer new cases per 100000 men,Computed tomography,Magnetic resonance imaging,Positron emission tomography,Gamma camera or nuclear medicine,Linear accelerator,Telecobalt unit,Radiotherapy,Registered Labs,Labs with clinical tests,Labs with research tests,General Male Cancer Mortality (15+) per 100k,General Female Cancer Mortality (15+) per 100k
Myanmar,Yes,Visual inspection,Opportunistic screening,Less than 10,No,4.7,287.6,58.0,219.3,44.2,Asia,19.7,16.7,1490.0,1450.0,15.7,19.8,0.08,0.08,,0.06,,0.06,0.06,,,,212,138.6
Namibia,No,,,,No,8.6,895.4,447.3,69.2,34.6,Africa,16.0,26.5,6190.0,6000.0,24.3,31.5,4.78,0.87,0.0,0.87,0.0,0.43,0.43,,,,135.8,78.9
Nauru,No,PAP smear,Opportunistic screening,,No,11.0,1309.6,1106.8,12.1,10.2,,,,10200.0,5730.0,,,,,,,,,,,,,No data,No data
Nepal,Yes,Visual inspection,Organized population-based screening,10 to 50,No,5.6,150.1,47.9,86.7,27.7,Asia,12.3,14.4,779.0,789.0,6.58,6.66,,,,,0.11,0.11,0.22,,,,107.6,105
Netherlands,Yes,HPV test,Organized population-based screening,more than 50 but less than 70,Yes,10.1,5513.1,4911.4,611.2,544.5,Europe,23.4,117.0,53900.0,54300.0,25.6,137.0,12.23,12.11,2.39,10.68,7.22,0.0,7.22,10.0,8.0,1.0,216.8,157.3
New Zealand,Yes,HPV test,Organized population-based screening,70 or more,Yes,9.2,3767.5,3937.2,511.5,534.6,Oceania,22.0,98.6,37700.0,36200.0,22.9,151.0,,,,,,0.0,6.21,2.0,1.0,1.0,173.8,135.6
Nicaragua,Yes,PAP smear,Organized population-based screening,10 to 50,No,8.6,506.2,192.1,165.0,62.6,Americas,8.73,17.4,1960.0,1900.0,18.5,29.7,0.49,0.16,0.0,0.16,0.16,0.16,0.33,,,,133.1,109.5
Niger,No,,,,No,7.7,78.9,29.3,37.7,14.0,Africa,12.2,11.7,394.0,385.0,29.7,22.3,0.17,0.0,0.0,0.0,0.0,0.0,0.0,,,,78.7,77.5
Nigeria,No,PAP smear,Organized population-based screening,Less than 10,No,3.8,221.1,73.9,170.7,57.1,Africa,25.2,38.1,2410.0,2350.0,50.8,58.6,,,,,0.05,0.03,0.07,,,,146.3,135.8
Niue,Yes,PAP smear,Opportunistic screening,10 to 50,No,8.6,1106.5,1258.9,9.9,11.3,,,,,,,,,,,,,,,,,,No data,No data
Norway,Yes,HPV test,Organized population-based screening,70 or more,Yes,10.4,6518.9,7936.4,924.2,1125.2,Europe,16.9,83.8,91500.0,95300.0,30.9,158.0,,,0.0,,7.93,0.2,8.13,2.0,2.0,,178.6,131.6
Oman,No,,,,No,3.8,1590.8,587.6,106.5,39.3,Asia,10.5,27.9,16100.0,16000.0,8.32,16.5,6.88,4.4,0.0,1.1,0.55,0.0,0.55,,,,110.2,73.6
Pakistan,No,,,,No,2.9,160.6,44.6,96.7,26.9,Asia,29.0,42.5,1160.0,1220.0,8.14,12.9,0.33,0.22,0.03,0.04,0.04,0.04,0.08,,,,113.2,123.9
Palau,Yes,PAP smear,Organized population-based screening,more than 50 but less than 70,Yes,12.0,1777.8,1596.4,274.8,246.8,,,,12100.0,12800.0,,,,,,,,,,,,,No data,No data
Panama,Yes,PAP smear,Opportunistic screening,10 to 50,Yes,7.3,1794.8,1112.3,597.1,370.1,Americas,13.4,46.8,11500.0,10400.0,27.8,107.0,9.58,2.85,0.0,2.07,1.55,0.0,1.55,,,,134.2,105.4
Papua New Guinea,No,PAP smear,Opportunistic screening,10 to 50,No,2.5,103.9,61.5,9.3,5.5,,22.9,29.1,2490.0,1800.0,18.2,20.6,0.41,0.0,0.0,0.0,0.0,0.14,0.14,,,,199.9,186.5
Paraguay,Yes,PAP smear,Opportunistic screening,10 to 50,Yes,6.7,866.6,381.1,382.8,168.4,Americas,21.1,46.9,5270.0,5110.0,29.2,50.6,1.03,0.29,0.0,0.0,0.15,0.44,0.59,,,,167,128.7
Peru,Yes,PAP smear,Organized population-based screening,10 to 50,Yes,5.0,681.2,332.6,192.0,93.7,Americas,9.69,22.2,6310.0,6030.0,23.5,46.6,,,,,0.82,0.3,1.12,,,,141.5,130.8
Philippines,Yes,Visual inspection,Opportunistic screening,Less than 10,Yes,4.4,371.7,132.9,197.2,70.5,Asia,22.3,46.0,2880.0,3470.0,22.0,32.2,1.09,0.3,,,0.18,,0.18,,,,136,116.4
Poland,Yes,PAP smear,Opportunistic screening,10 to 50,No,6.5,1958.2,906.8,451.4,209.0,Europe,17.3,60.4,15800.0,15200.0,23.2,54.8,10.6,3.27,0.34,2.8,2.59,0.13,2.72,8.0,1.0,,278.8,156.4
Portugal,Yes,PAP smear,Organized population-based screening,70 or more,Yes,9.0,2917.4,1908.0,803.2,525.3,Europe,17.1,62.1,23400.0,22800.0,24.6,90.5,27.43,9.9,0.66,5.09,3.49,0.57,4.05,3.0,3.0,,227.3,108.8
Qatar,Yes,PAP smear,Organized population-based screening,Less than 10,Yes,2.6,3354.4,1649.2,298.6,146.8,,19.9,58.4,63600.0,62500.0,9.75,24.0,8.3,9.22,0.46,1.84,0.92,0.0,0.92,,,,116.2,105.7
Republic of Korea,Yes,PAP smear,Organized population-based screening,10 to 50,Yes,7.6,2980.2,2283.1,1003.4,768.7,,,,,,,,35.38,19.99,3.15,8.08,2.8,0.2,3.0,,,,204,91.2
Republic of Moldova,Yes,PAP smear,Opportunistic screening,70 or more,Yes,7.0,476.7,191.2,208.0,83.4,,,,,,,,5.45,1.43,0.0,1.15,0.29,0.29,0.57,,,,244.7,126.3
Republic of North Macedonia,Yes,PAP smear,Organized population-based screening,10 to 50,Yes,6.1,926.9,328.4,295.7,104.8,,,,,,,,,,,,,,,,,,,
Romania,Yes,PAP smear,Organized population-based screening,10 to 50,Yes,5.2,1367.8,555.1,280.2,113.7,Europe,17.7,50.3,11000.0,10700.0,16.0,59.5,5.44,1.98,0.05,1.15,0.51,0.65,1.15,,,,269.1,140.2
Russian Federation,Yes,PAP smear,Organized population-based screening,more than 50 but less than 70,No,5.3,1404.2,585.9,568.6,237.2,,,,,,,,,,,,0.77,1.51,2.28,,,,298.4,153.1
Rwanda,No,Visual inspection,Opportunistic screening,Less than 10,Yes,6.6,134.4,49.2,8.4,3.1,Africa,16.0,17.7,780.0,761.0,46.4,39.2,,,,,,,,,,,227.5,171.4
Saint Kitts and Nevis,No,PAP smear,Opportunistic screening,10 to 50,No,5.0,1442.1,902.7,688.9,431.2,,,,,,,,18.45,0.0,0.0,0.0,0.0,0.0,0.0,,,,No data,No data
Saint Lucia,No,PAP smear,Opportunistic screening,Less than 10,Yes,4.5,662.3,460.1,296.4,205.9,,,,,,,,10.97,10.97,0.0,0.0,0.0,0.0,0.0,,,,188.2,140.4
Saint Vincent and the Grenadines,No,PAP smear,Opportunistic screening,more than 50 but less than 70,Yes,4.5,528.1,320.6,164.7,100.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,256.5,160.7
Samoa,No,,,,No,5.5,364.0,233.1,43.2,27.6,,23.4,30.3,3850.0,3460.0,20.8,21.5,5.25,0.0,0.0,0.0,0.0,0.0,0.0,,,,148.1,120.1
San Marino,Yes,HPV test,Organized population-based screening,70 or more,Yes,7.4,4369.7,3361.6,757.4,582.7,,,,53300.0,,,,31.8,63.6,0.0,0.0,0.0,0.0,0.0,,,,No data,No data
Sao Tome and Principe,No,HPV test,Organized population-based screening,10 to 50,Yes,6.2,209.2,119.7,28.8,16.5,Africa,13.7,16.7,1290.0,1100.0,17.8,16.9,,,,,,,,,,,185.1,141.3
Saudi Arabia,No,,,,No,5.2,2826.3,1093.4,476.5,184.3,Asia,12.0,36.4,20700.0,21000.0,8.99,21.0,3.82,0.97,0.0,0.38,0.1,0.0,0.1,,,,82.7,73.7
Senegal,Yes,Visual inspection,Opportunistic screening,10 to 50,Yes,4.1,143.1,55.0,75.0,28.8,Africa,18.3,16.9,1490.0,1450.0,37.3,24.1,0.35,0.14,0.0,0.07,0.0,0.07,0.07,,,,104,98.8
Serbia,Yes,PAP smear,Organized population-based screening,10 to 50,No,8.4,1382.2,528.5,577.1,220.7,Europe,25.2,69.2,6560.0,6130.0,21.3,47.3,13.67,6.2,0.21,0.32,1.37,0.11,1.47,,,,261.6,155.2
Seychelles,No,PAP smear,Organized population-based screening,70 or more,Yes,5.0,1485.5,791.7,365.4,194.7,,22.6,61.7,14000.0,10200.0,60.4,127.0,10.77,10.77,,,,,,,,,249.5,125.2
Sierra Leone,No,,,,No,13.4,205.4,66.4,103.5,33.5,Africa,19.6,21.3,467.0,452.0,29.8,24.9,0.33,,,0.16,,,,,,,113.8,101.5
Singapore,Yes,HPV test,Organized population-based screening,more than 50 but less than 70,Yes,4.4,4270.0,2618.7,1371.7,841.3,Asia,14.5,75.2,56700.0,52700.0,8.32,40.2,8.87,7.76,,,3.33,0.18,3.51,2.0,1.0,1.0,164.5,110.7
Slovakia,Yes,PAP smear,Opportunistic screening,10 to 50,Yes,6.7,2184.2,1186.1,408.7,222.0,,,,,,,,,,,,2.94,1.83,4.77,2.0,2.0,,305.9,155.8
Slovenia,Yes,PAP smear,Organized population-based screening,70 or more,Yes,8.2,2960.6,1920.3,365.0,236.7,Europe,18.5,65.7,25700.0,25300.0,29.6,72.7,13.51,8.69,0.97,8.2,5.31,0.48,5.79,1.0,1.0,,253.4,145
Solomon Islands,Yes,Visual inspection,Opportunistic screening,10 to 50,Yes,4.7,115.2,101.2,6.2,5.5,,31.8,34.6,1470.0,941.0,23.7,21.2,,,,,,,,,,,140.8,158.8
Somalia,Yes,PAP smear,,,No,,,,,,Africa,24.2,23.9,,,43.9,38.2,,,,,,,,,,,116.3,143.8
South Africa,Yes,PAP smear,Opportunistic screening,more than 50 but less than 70,Yes,8.1,1097.8,499.2,85.3,38.8,Africa,17.7,46.4,7480.0,7250.0,36.5,77.2,0.97,0.23,0.06,0.53,0.4,0.17,0.57,1.0,1.0,,223,143.8
South Sudan,No,,,,No,9.8,175.8,22.9,33.7,4.4,,12.5,13.6,731.0,,36.8,33.8,,,,,,,,,,,190.1,173.7
Spain,Yes,HPV test,Organized population-based screening,more than 50 but less than 70,Yes,8.9,3468.7,2506.5,817.4,590.7,Europe,14.9,59.9,32300.0,32300.0,17.8,65.0,13.85,8.14,,4.75,3.49,0.66,4.16,21.0,17.0,1.0,200.7,100.1
Sri Lanka,Yes,PAP smear,Organized population-based screening,more than 50 but less than 70,Yes,3.8,503.6,159.5,250.6,79.4,Asia,9.45,21.3,3850.0,3750.0,7.25,13.5,1.69,0.42,0.0,,0.09,,0.56,,,,135.4,99.1
Sudan,No,,,,No,6.3,313.7,193.8,227.4,140.5,Africa,17.5,29.6,1950.0,1800.0,11.6,13.0,1.13,0.32,,0.13,0.08,0.11,0.18,,,,131,101.2
Suriname,No,Visual inspection,Opportunistic screening,10 to 50,Yes,6.2,946.4,339.3,249.7,89.5,,18.7,39.8,7970.0,8060.0,49.5,80.5,7.42,3.71,0.0,0.0,3.71,0.0,3.71,,,,205.1,145.6
Sweden,Yes,PAP smear,Organized population-based screening,70 or more,Yes,11.0,5699.6,5904.6,856.8,887.6,Europe,18.6,96.7,57400.0,58200.0,31.4,154.0,,,,,6.48,0.42,6.9,2.0,2.0,,160.8,128.3
Switzerland,Yes,PAP smear,Opportunistic screening,70 or more,Yes,12.3,8217.0,9956.3,2378.6,2882.0,Europe,18.9,88.2,77700.0,77700.0,22.8,132.0,,,,,,,,7.0,5.0,,170,112.7
Syrian Arab Republic,Yes,PAP smear,Organized population-based screening,,No,3.6,159.7,69.9,85.8,37.5,,,,,,,,,,,,0.05,0.27,0.32,,,,201.4,150.6
Tajikistan,No,Visual inspection,Opportunistic screening,10 to 50,No,7.2,231.4,57.9,146.1,36.6,,7.81,13.5,1020.0,1090.0,6.6,8.47,1.1,0.37,,,0.0,0.12,0.12,,,,126.6,99.1
Thailand,Yes,PAP smear,Organized population-based screening,more than 50 but less than 70,Yes,3.7,670.9,247.0,74.8,27.5,Asia,11.8,31.1,6130.0,5850.0,8.4,17.7,5.95,,0.07,0.45,0.63,0.34,0.97,,,,176.2,106.6
Timor-Leste,Yes,Visual inspection,Opportunistic screening,Less than 10,No,3.9,263.8,83.2,22.0,6.9,,13.8,20.4,2740.0,2780.0,14.6,16.3,,,,,,,,,,,215.1,163.5
Togo,No,Visual inspection,Organized population-based screening,Less than 10,No,6.2,103.7,38.0,60.6,22.2,Africa,19.5,19.0,660.0,660.0,33.8,26.1,0.73,0.15,,,,,,,,,129.3,136.1
Tonga,Yes,PAP smear,Opportunistic screening,Less than 10,No,5.3,335.3,222.0,35.6,23.6,,44.1,66.8,4090.0,3670.0,39.5,47.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,257.3,163.8
Trinidad and Tobago,Yes,PAP smear,Organized population-based screening,10 to 50,Yes,7.0,2205.8,1124.1,877.4,447.1,Americas,22.6,60.1,15300.0,15900.0,72.6,144.0,2.98,2.98,0.0,2.24,1.49,1.49,2.98,,,,197.4,133.5
Tunisia,Yes,PAP smear,Organized population-based screening,10 to 50,No,7.2,863.3,250.6,337.7,98.0,Africa,17.5,41.8,4340.0,4010.0,14.6,24.3,8.91,2.0,,1.18,0.64,1.0,1.64,,,,129.8,66.5
Turkey,Yes,HPV test,Organized population-based screening,70 or more,No,4.2,1180.6,444.7,205.2,77.3,Europe,10.3,32.5,14900.0,14700.0,14.9,33.7,14.52,6.14,0.89,3.82,1.43,0.6,2.03,3.0,3.0,,254.4,112.7
Turkmenistan,Yes,Visual inspection,Opportunistic screening,more than 50 but less than 70,Yes,6.9,1249.6,456.5,909.2,332.1,,11.2,33.8,7320.0,4070.0,6.31,13.4,,,,,,,,,,,172.2,116.5
Tuvalu,Yes,PAP smear,Opportunistic screening,10 to 50,No,17.1,694.3,622.2,3.6,3.2,,,,3590.0,4840.0,,,,,,,,,,,,,No data,No data
Uganda,No,Visual inspection,Opportunistic screening,10 to 50,Yes,6.3,122.7,38.9,47.3,15.0,Africa,27.7,33.0,694.0,675.0,75.5,64.2,0.45,0.08,0.0,0.05,0.0,0.05,0.05,,,,285.4,184.2
Ukraine,Yes,PAP smear,Opportunistic screening,Less than 10,No,7.0,584.6,177.4,305.8,92.8,,18.0,46.9,2990.0,2900.0,15.3,38.1,,,,,0.44,1.95,2.39,,,,247.2,126.2
United Arab Emirates,Yes,PAP smear,Opportunistic screening,Less than 10,Yes,3.3,2468.5,1357.0,465.8,256.0,,18.3,56.5,40700.0,41000.0,10.7,24.5,,,,,0.53,0.11,0.64,2.0,1.0,,72.3,81.5
United Kingdom of Great Britain and Northern Ireland,Yes,PAP smear,Organized population-based screening,70 or more,Yes,9.6,4338.4,3858.7,692.3,615.7,,,,,,,,,,,,,,,,,,,
United Republic of Tanzania,No,,,,Yes,3.6,104.3,33.9,25.1,8.2,,,,,,,,0.12,0.04,0.02,0.08,,0.06,0.06,,,,155.8,136.6
United States of America,Yes,PAP smear,Opportunistic screening,Less than 10,Yes,17.1,10246.1,10246.1,1126.3,1126.3,,,,,,,,,,,,11.93,0.44,12.37,,,,178.3,133.9
Uruguay,Yes,PAP smear,Organized population-based screening,70 or more,Yes,9.3,2101.9,1591.5,368.9,279.3,Americas,26.5,70.1,14400.0,13600.0,38.8,84.6,12.91,2.94,0.29,2.94,2.94,0.88,3.82,,,,277.5,162.5
Uzbekistan,No,PAP smear,Organized population-based screening,,No,6.4,447.9,98.8,239.3,52.8,,13.3,32.7,2290.0,1640.0,6.03,9.99,,,,,0.03,0.59,0.62,,,,86,74.2
Vanuatu,Yes,PAP smear,Opportunistic screening,10 to 50,Yes,3.3,110.4,105.7,9.9,9.5,,27.3,31.7,2860.0,2870.0,23.6,22.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,170.1,141.5
Venezuela (Bolivarian Republic of),Yes,PAP smear,Organized population-based screening,10 to 50,No,1.2,141.0,94.2,88.8,59.4,,,,,,,,,,,,1.61,0.89,2.5,,,,165.3,127.5
Viet Nam,Yes,PAP smear,Organized population-based screening,10 to 50,No,5.5,375.6,129.6,170.0,58.6,,,,,,,,,,,,0.2,0.21,0.4,,,,191.5,112.9
Yemen,No,,,,No,4.2,139.0,72.0,112.5,58.3,,20.0,26.6,703.0,1260.0,11.8,11.8,3.61,1.15,0.0,0.12,0.04,0.08,0.12,,,,107.9,90.9
Zambia,No,Visual inspection,Organized population-based screening,more than 50 but less than 70,Yes,4.5,180.3,67.6,21.4,8.0,Africa,14.7,15.9,1660.0,1390.0,50.9,45.5,0.21,0.07,0.0,0.07,0.07,0.07,0.14,,,,178.5,157.1
Zimbabwe,No,PAP smear,Organized population-based screening,10 to 50,Yes,6.6,201.0,110.1,41.5,22.7,Africa,26.7,28.3,1260.0,1150.0,78.2,62.9,0.42,0.28,0.0,0.28,0.21,0.21,0.42,,,,182.7,146.8
